Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
240424526,Half His Age,Jennette McCurdy,"McCurdy, Jennette",,"=""0593723732""","=""9780593723739""",2.0,Ballantine Books,Hardcover,288,2026,2026,2026/07/23,2026/01/25,,,read,,,,1,0
11012,Dubliners,James Joyce,"Joyce, James","Terence Brown, Jeri Johnson","=""""","=""""",4.0,Oxford University Press,Paperback,352,2001,1914,2026/07/23,2025/12/12,,,read,,,,1,0
35068534,Monday's Not Coming,Tiffany D. Jackson,"Jackson, Tiffany D.",,"=""0062422693""","=""9780062422699""",5.0,Katherine Tegen Books,ebook,448,2018,2018,2026/07/21,2020/07/08,,,read,,,,1,0
41720140,You Exist Too Much,Zaina Arafat,"Arafat, Zaina",,"=""1948226502""","=""9781948226509""",3.0,Catapult,Hardcover,263,2020,2020,2026/07/19,2020/08/28,,,read,,,,1,0
40528601,The Margot Affair,Sanaë Lemoine,"Lemoine, Sanaë",,"=""""","=""""",4.0,Hogarth,Hardcover,336,2020,2020,2026/07/17,2020/08/28,,,read,,,,1,0
81071872,Babylon Revisited (Little Clothbound Classics),F. Scott Fitzgerald,"Fitzgerald, F. Scott",,"=""0241630835""","=""9780241630839""",4.0,Penguin Classics,Hardcover,240,2023,1931,2026/07/15,2026/07/13,,,read,,,,1,0
16328,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,"Christie, Agatha",,"=""1579126278""","=""9781579126278""",4.0,Black Dog & Leventhal Pub,Hardcover,288,2006,1926,2026/07/11,2023/06/15,,,read,,,,1,0
60435878,Carrie Soto Is Back,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""0593158687""","=""9780593158685""",5.0,Ballantine Books,Hardcover,384,2022,2022,2026/07/09,2022/06/10,,,read,,,,1,0
61361681,Clytemnestra,Costanza Casati,"Casati, Costanza",,"=""1728268230""","=""9781728268231""",5.0,Sourcebooks Landmark,Hardcover,435,2023,2023,2026/06/23,2023/01/14,,,read,,,,1,0
223296200,"Hekate - The Witch (Goddesses of the Underworld, #1)",Nikita Gill,"Gill, Nikita",,"=""0316581828""","=""9780316581820""",5.0,"Little, Brown Books for Young Readers",Hardcover,384,2025,2025,2026/06/19,2026/03/22,,,read,,,,1,0
54479,Around the World in Eighty Days,Jules Verne,"Verne, Jules","Brian W. Aldiss, Michael Glencross","=""014044906X""","=""9780140449068""",5.0,Penguin Books ,Paperback,252,2004,1872,2026/06/19,2019/07/27,,,read,,,,1,0
50659468,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575583""","=""9781635575583""",0,Bloomsbury Publishing,Paperback,626,2020,2016,,2026/06/14,to-read,to-read (#1),to-read,,,,0,0
54416144,Home Is Not a Country,Safia Elhillo,"Elhillo, Safia",,"=""0593177053""","=""9780593177051""",4.0,Make Me a World,Hardcover,224,2021,2021,2026/06/14,2020/09/17,,,read,,,,1,0
138371909,Bonjour Tristesse (Little Clothbound Classics),Françoise Sagan,"Sagan, Françoise",,"=""0241630894""","=""9780241630891""",4.0,Penguin Classics,Hardcover,176,2023,1954,2026/06/13,2026/06/12,,,read,,,,1,0
